,unique.cellid,cellosaurus.name,Cellosaurus.Accession.id,PharmacoDB.id,cello_NCItd_1,cello_diseaseType,cello_NCItd_2,cello_diseaseType_2,cello_NCItd_3,cello_diseaseType_3,onco_name,onco_mainType,onco_tissue
1393,SJNB-14,SJNB-14,CVCL_1444,NB14_988_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
1394,SJNB-17,SJNB-17,CVCL_1445,NB17_989_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
1395,SJNB-5,SJNB-5,CVCL_8822,NB5_991_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
1396,SJNB-6,SJNB-6,CVCL_8823,NB6_992_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
1397,SJNB-7,SJNB-7,CVCL_8824,NB7_994_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
1398,SJSA-1,SJSA-1,CVCL_1697,SJSA1_1382_2019,C9145,Osteosarcoma,NA,NA,NA,NA,Osteosarcoma,Bone Cancer,Bone
1399,SK-BR-3,SK-BR-3,CVCL_0033,SKBR3_1383_2019,C5214,Breast adenocarcinoma,NA,NA,NA,NA,Invasive Breast Carcinoma (BRCA),Breast Cancer,Breast
1400,SK-BR-5,SK-BR-5,CVCL_5217,SKBR5_1384_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
1401,SK-BR-7,SK-BR-7,CVCL_5218,SKBR7_1385_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
1402,SK-CO-1,SK-CO-1,CVCL_0626,SKCO1_1386_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
1403,SK-ES-1,SK-ES-1,CVCL_0627,SKES1_1387_2019,C4817,Ewing sarcoma,NA,NA,NA,NA,Ewing Sarcoma,Bone Cancer,Bone
1404,SK-GT-2,SK-GT-2,CVCL_2194,SKGT2_1388_2019,C8398,Gastric fundus carcinoma,NA,NA,NA,NA,NA,Esophagogastric Cancer,Esophagus/Stomach
1405,SK-GT-4,SK-GT-4,CVCL_2195,SKGT4_1389_2019,C4025,Esophageal adenocarcinoma,NA,NA,NA,NA,Esophageal Adenocarcinoma,Esophagogastric Cancer,Esophagus/Stomach
1406,SK-HEP-1,SK-HEP-1,CVCL_0525,SKHEP1_1390_2019,C3099,Hepatocellular carcinoma,NA,NA,NA,NA,Hepatocellular Carcinoma,Hepatobiliary Cancer,Liver
1407,SK-LMS-1,SK-LMS-1,CVCL_0628,SKLMS1_1391_2019,C40318,Vulvar leiomyosarcoma,NA,NA,NA,NA,Leiomyosarcoma,Soft Tissue Sarcoma,Soft Tissue
1408,SK-LU-1,SK-LU-1,CVCL_0629,SKLU1_1392_2019,C3512,Lung adenocarcinoma,NA,NA,NA,NA,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
1409,SK-MEL-1,SK-MEL-1,CVCL_0068,SKMEL1_1393_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
1410,SK-MEL-2,SK-MEL-2,CVCL_0069,SKMEL2_1394_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
1411,SK-MEL-23,SK-MEL-23,CVCL_6027,SK23_1416_2019,C3510,Cutaneous melanoma,NA,NA,NA,NA,Cutaneous Melanoma,Melanoma,Skin
1412,SK-MEL-24,SK-MEL-24,CVCL_0599,SKMEL24_1395_2019,C3224,Melanoma,NA,NA,NA,NA,Melanoma,Melanoma,Skin
1413,SK-MEL-28,SK-MEL-28,CVCL_0526,SKMEL28_1396_2019,C3510,Cutaneous melanoma,NA,NA,NA,NA,Cutaneous Melanoma,Melanoma,Skin
1414,SK-MEL-3,SK-MEL-3,CVCL_0550,SKMEL3_1397_2019,C3510,Cutaneous melanoma,NA,NA,NA,NA,Cutaneous Melanoma,Melanoma,Skin
1415,SK-MEL-30,SK-MEL-30,CVCL_0039,SKMEL30_1398_2019,C3510,Cutaneous melanoma,NA,NA,NA,NA,Cutaneous Melanoma,Melanoma,Skin
1416,SK-MEL-31,SK-MEL-31,CVCL_0600,SKMEL31_1399_2019,C3510,Cutaneous melanoma,NA,NA,NA,NA,Cutaneous Melanoma,Melanoma,Skin
1417,SK-MEL-5,SK-MEL-5,CVCL_0527,SKMEL5_1400_2019,C3510,Cutaneous melanoma,NA,NA,NA,NA,Cutaneous Melanoma,Melanoma,Skin
1418,SK-MES-1,SK-MES-1,CVCL_0630,SKMES1_1401_2019,C3493,Squamous cell lung carcinoma,NA,NA,NA,NA,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung
1419,SK-MG-1,SK-MG-1,CVCL_1698,SKMG1_1402_2019,C60781,Astrocytoma,NA,NA,NA,NA,Astrocytoma,Glioma,CNS/Brain
1420,SK-MM-2,SK-MM-2,CVCL_1699,SKMM2_1403_2019,C3242,Plasma cell myeloma,NA,NA,NA,NA,Plasma Cell Myeloma,Mature B-Cell Neoplasms,Lymphoid
1421,SK-N-AS,SK-N-AS,CVCL_1700,SKNAS_1404_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
1422,SK-N-BE(2),SK-N-BE(2),CVCL_0528,SKNBE(2)_1405_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
1423,SK-N-BE(2)-M17,SK-N-BE(2)-M17,CVCL_0167,BE2M17_85_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
1424,SK-N-DZ,SK-N-DZ,CVCL_1701,SKNDZ_1406_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
1425,SK-N-FI,SK-N-FI,CVCL_1702,SKNFI_1407_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
1426,SK-N-MC,SK-N-MC,CVCL_0530,SKNMC_1408_2019,C7542,Askin tumor,NA,NA,NA,NA,Ewing Sarcoma of Soft Tissue,Soft Tissue Sarcoma,Soft Tissue
1427,SK-N-MC-IXC,SK-N-MC-IXC,CVCL_1398,MCIXC_886_2019,C7542,Askin tumor,NA,NA,NA,NA,Ewing Sarcoma of Soft Tissue,Soft Tissue Sarcoma,Soft Tissue
1428,SK-N-SH,SK-N-SH,CVCL_0531,SKNSH_1409_2019,C3270,Neuroblastoma,NA,NA,NA,NA,Neuroblastoma,Peripheral Nervous System,Peripheral Nervous System
1429,SK-NEP-1,SK-NEP-1,CVCL_0631,SKNEP1_1410_2019,C4817,Ewing sarcoma,NA,NA,NA,NA,Ewing Sarcoma,Bone Cancer,Bone
1430,SK-OV-3,SK-OV-3,CVCL_0532,SKOV3_1411_2019,C7978,Ovarian serous cystadenocarcinoma,NA,NA,NA,NA,Serous Ovarian Cancer,Ovarian Cancer,Ovary/Fallopian Tube
1431,SK-PN-DW,SK-PN-DW,CVCL_1703,SKPNDW_1412_2019,C3716,Primitive neuroectodermal tumor,NA,NA,NA,NA,Primitive Neuroectodermal Tumor,Embryonal Tumor,CNS/Brain
1432,SK-RC-20,SK-RC-20,CVCL_V605,SKRC20_1414_2019,C9385,Renal cell carcinoma,NA,NA,NA,NA,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
1433,SK-RC-31,SK-RC-31,CVCL_6186,SKRC31_1413_2019,C9385,Renal cell carcinoma,NA,NA,NA,NA,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
1434,SK-UT-1,SK-UT-1,CVCL_0533,SKUT1_1415_2019,C6340,Uterine corpus leiomyosarcoma,NA,NA,NA,NA,Uterine Leiomyosarcoma,Uterine Sarcoma,Uterus
1435,SKG-IIIa,SKG-IIIa,CVCL_1704,SKGIIIa_1417_2019,C27676,Human papillomavirus-related cervical squamous cell carcinoma,NA,NA,NA,NA,Cervical Squamous Cell Carcinoma (CESC),Cervical Cancer,Cervix
1436,SKM-1,SKM-1,CVCL_0098,SKM1_1418_2019,C9154,Adult acute myeloid leukemia,NA,NA,NA,NA,Acute Myeloid Leukemia (AML),Acute Myeloid Leukemia,Myeloid
1437,SKN,SKN,CVCL_3167,SKN_1419_2019,C6340,Uterine corpus leiomyosarcoma,NA,NA,NA,NA,Uterine Leiomyosarcoma,Uterine Sarcoma,Uterus
1438,SKN-3,SKN-3,CVCL_3168,SKN3_1420_2019,C34447,Head and neck squamous cell carcinoma,NA,NA,NA,NA,Head and Neck Squamous Cell Carcinoma,Head and Neck Cancer,Head and Neck
1439,SKNO-1,SKNO-1,NA,NA,C7961,Adult acute myeloid leukemia with maturation,NA,NA,NA,NA,AML with Maturation,Leukemia,Myeloid
1440,SKO-007,SKO-007,NA,NA,C3242,Plasma cell myeloma,NA,NA,NA,NA,Plasma Cell Myeloma,Mature B-Cell Neoplasms,Lymphoid
1441,SLR20,SLR20,CVCL_V606,SLR20_1421_2019,C4912,Bladder carcinoma,NA,NA,NA,NA,NA,NA,Bladder/Urinary Tract
1442,SLR21,SLR21,CVCL_V607,SLR21_1422_2019,C4033,Clear cell renal cell carcinoma,NA,NA,NA,NA,Renal Clear Cell Carcinoma,Renal Cell Carcinoma,Kidney
1443,SLR23,SLR23,CVCL_V609,SLR23_1423_2019,C4033,Clear cell renal cell carcinoma,NA,NA,NA,NA,Renal Clear Cell Carcinoma,Renal Cell Carcinoma,Kidney
1444,SLR24,SLR24,CVCL_V610,SLR24_1424_2019,C4033,Clear cell renal cell carcinoma,NA,NA,NA,NA,Renal Clear Cell Carcinoma,Renal Cell Carcinoma,Kidney
1445,SLR25,SLR25,CVCL_V611,SLR25_1425_2019,C4033,Clear cell renal cell carcinoma,NA,NA,NA,NA,Renal Clear Cell Carcinoma,Renal Cell Carcinoma,Kidney
1446,SLR26,SLR26,CVCL_V612,SLR26_1426_2019,C4033,Clear cell renal cell carcinoma,NA,NA,NA,NA,Renal Clear Cell Carcinoma,Renal Cell Carcinoma,Kidney
1447,SN12C,SN12C,CVCL_1705,SN12C_1428_2019,C9385,Renal cell carcinoma,NA,NA,NA,NA,Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
1448,SNB-19,SNB-19,CVCL_0535,SNB19_1429_2019,C60781,Astrocytoma,NA,NA,NA,NA,Astrocytoma,Glioma,CNS/Brain
1449,SNB-75,SNB-75,CVCL_1706,SNB75_1430_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
1450,SNG-M,SNG-M,CVCL_1707,SNGM_1431_2019,C7359,Endometrial adenocarcinoma,NA,NA,NA,NA,Endometrial Carcinoma (UCEC),Endometrial Cancer,Uterus
1451,SNU-1,SNU-1,CVCL_0099,NCISNU1_1152_2019,C4004,Gastric adenocarcinoma,NA,NA,NA,NA,Stomach Adenocarcinoma,Esophagogastric Cancer,Esophagus/Stomach
1452,SNU-1033,SNU-1033,CVCL_5002,SNU1033_1433_2019,C9383,Rectal adenocarcinoma,NA,NA,NA,NA,Rectal Adenocarcinoma,Colorectal Cancer,Bowel
1453,SNU-1040,SNU-1040,CVCL_5003,SNU1040_1434_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
1454,SNU-1041,SNU-1041,CVCL_L085,SNU1041_1435_2019,C4043,Hypopharyngeal squamous cell carcinoma,NA,NA,NA,NA,Hypopharynx Squamous Cell Carcinoma,Head and Neck Cancer,Head and Neck
1455,SNU-1066,SNU-1066,CVCL_5005,SNU1066_1436_2019,C4044,Laryngeal squamous cell carcinoma,NA,NA,NA,NA,Larynx Squamous Cell Carcinoma,Head and Neck Cancer,Head and Neck
1456,SNU-1076,SNU-1076,CVCL_5006,SNU1076_1437_2019,C4044,Laryngeal squamous cell carcinoma,NA,NA,NA,NA,Larynx Squamous Cell Carcinoma,Head and Neck Cancer,Head and Neck
1457,SNU-1077,SNU-1077,CVCL_5007,SNU1077_1438_2019,C42700,Uterine carcinosarcoma,NA,NA,NA,NA,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,Endometrial Cancer,Uterus
1458,SNU-1079,SNU-1079,CVCL_5008,SNU1079_1439_2019,C35417,Intrahepatic cholangiocarcinoma,NA,NA,NA,NA,Intrahepatic Cholangiocarcinoma,Hepatobiliary Cancer,Biliary Tract
1459,SNU-1105,SNU-1105,CVCL_5010,SNU1105_1440_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
1460,SNU-119,SNU-119,CVCL_5014,SNU119_1441_2019,C105555,High grade ovarian serous adenocarcinoma,NA,NA,NA,NA,High-Grade Serous Ovarian Cancer,Ovarian Cancer,Ovary/Fallopian Tube
1461,SNU-1196,SNU-1196,CVCL_5015,SNU1196_1442_2019,C36077,Hilar cholangiocarcinoma,NA,NA,NA,NA,Perihilar Cholangiocarcinoma,Hepatobiliary Cancer,Biliary Tract
1462,SNU-1197,SNU-1197,CVCL_5016,SNU1197_1443_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
1463,SNU-1214,SNU-1214,CVCL_5017,SNU1214_1444_2019,C4044,Laryngeal squamous cell carcinoma,NA,NA,NA,NA,Larynx Squamous Cell Carcinoma,Head and Neck Cancer,Head and Neck
1464,SNU-1272,SNU-1272,CVCL_8788,SNU1272_1445_2019,C4033,Clear cell renal cell carcinoma,NA,NA,NA,NA,Renal Clear Cell Carcinoma,Renal Cell Carcinoma,Kidney
1465,SNU-16,SNU-16,CVCL_0076,NCISNU16_1153_2019,C4004,Gastric adenocarcinoma,NA,NA,NA,NA,Stomach Adenocarcinoma,Esophagogastric Cancer,Esophagus/Stomach
1466,SNU-175,SNU-175,CVCL_5031,SNU175_1447_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
1467,SNU-182,SNU-182,CVCL_0090,SNU182_1448_2019,C3099,Hepatocellular carcinoma,NA,NA,NA,NA,Hepatocellular Carcinoma,Hepatobiliary Cancer,Liver
1468,SNU-201,SNU-201,CVCL_5033,SNU201_1449_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
1469,SNU-213,SNU-213,CVCL_5034,SNU213_1450_2019,C8294,Pancreatic adenocarcinoma,NA,NA,NA,NA,Pancreatic Adenocarcinoma,Pancreatic Cancer,Pancreas
1470,SNU-216,SNU-216,CVCL_3946,SNU216_1451_2019,C5473,Gastric tubular adenocarcinoma,NA,NA,NA,NA,Tubular Stomach Adenocarcinoma,Esophagogastric Cancer,Esophagus/Stomach
1471,SNU-245,SNU-245,CVCL_5038,SNU245_1452_2019,C4436,Cholangiocarcinoma,NA,NA,NA,NA,Cholangiocarcinoma,Hepatobiliary Cancer,Biliary Tract
1472,SNU-283,SNU-283,CVCL_5044,SNU283_1453_2019,C9383,Rectal adenocarcinoma,NA,NA,NA,NA,Rectal Adenocarcinoma,Colorectal Cancer,Bowel
1473,SNU-308,SNU-308,CVCL_5048,SNU308_1454_2019,C3844,Gallbladder carcinoma,NA,NA,NA,NA,Gallbladder Cancer,Hepatobiliary Cancer,Biliary Tract
1474,SNU-324,SNU-324,CVCL_5051,SNU324_1455_2019,C8294,Pancreatic adenocarcinoma,NA,NA,NA,NA,Pancreatic Adenocarcinoma,Pancreatic Cancer,Pancreas
1475,SNU-349,SNU-349,CVCL_5054,SNU349_1456_2019,C4033,Clear cell renal cell carcinoma,NA,NA,NA,NA,Renal Clear Cell Carcinoma,Renal Cell Carcinoma,Kidney
1476,SNU-387,SNU-387,CVCL_0250,SNU387_1457_2019,C3099,Hepatocellular carcinoma,NA,NA,NA,NA,Hepatocellular Carcinoma,Hepatobiliary Cancer,Liver
1477,SNU-398,SNU-398,CVCL_0077,SNU398_1458_2019,C3099,Hepatocellular carcinoma,NA,NA,NA,NA,Hepatocellular Carcinoma,Hepatobiliary Cancer,Liver
1478,SNU-407,SNU-407,CVCL_5058,SNU407_1459_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
1479,SNU-410,SNU-410,CVCL_5059,SNU410_1460_2019,C8294,Pancreatic adenocarcinoma,NA,NA,NA,NA,Pancreatic Adenocarcinoma,Pancreatic Cancer,Pancreas
1480,SNU-423,SNU-423,CVCL_0366,SNU423_1461_2019,C3099,Hepatocellular carcinoma,NA,NA,NA,NA,Hepatocellular Carcinoma,Hepatobiliary Cancer,Liver
1481,SNU-449,SNU-449,CVCL_0454,SNU449_1462_2019,C3099,Hepatocellular carcinoma,NA,NA,NA,NA,Hepatocellular Carcinoma,Hepatobiliary Cancer,Liver
1482,SNU-46,SNU-46,CVCL_5063,SNU46_1463_2019,C4044,Laryngeal squamous cell carcinoma,NA,NA,NA,NA,Larynx Squamous Cell Carcinoma,Head and Neck Cancer,Head and Neck
1483,SNU-466,SNU-466,CVCL_5064,SNU466_1464_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
1484,SNU-475,SNU-475,CVCL_0497,SNU475_1465_2019,C3099,Hepatocellular carcinoma,NA,NA,NA,NA,Hepatocellular Carcinoma,Hepatobiliary Cancer,Liver
1485,SNU-478,SNU-478,CVCL_5065,SNU478_1466_2019,C6650,Ampulla of Vater adenocarcinoma,NA,NA,NA,NA,Ampullary Carcinoma,Ampullary Cancer,Ampulla of Vater
1486,SNU-484,SNU-484,CVCL_0100,SNU484_1467_2019,C4004,Gastric adenocarcinoma,NA,NA,NA,NA,Stomach Adenocarcinoma,Esophagogastric Cancer,Esophagus/Stomach
1487,SNU-489,SNU-489,CVCL_5069,SNU489_1468_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
1488,SNU-5,SNU-5,CVCL_0078,NCISNU5_1154_2019,C4004,Gastric adenocarcinoma,NA,NA,NA,NA,Stomach Adenocarcinoma,Esophagogastric Cancer,Esophagus/Stomach
1489,SNU-503,SNU-503,CVCL_5071,SNU503_1470_2019,C9383,Rectal adenocarcinoma,NA,NA,NA,NA,Rectal Adenocarcinoma,Colorectal Cancer,Bowel
1490,SNU-520,SNU-520,CVCL_5072,SNU520_1471_2019,C4004,Gastric adenocarcinoma,NA,NA,NA,NA,Stomach Adenocarcinoma,Esophagogastric Cancer,Esophagus/Stomach
1491,SNU-601,SNU-601,CVCL_0101,SNU601_1472_2019,C5250,Signet ring cell gastric adenocarcinoma,NA,NA,NA,NA,Signet Ring Cell Carcinoma of the Stomach,Esophagogastric Cancer,Esophagus/Stomach
1492,SNU-61,SNU-61,CVCL_5078,SNU61_1473_2019,C9383,Rectal adenocarcinoma,NA,NA,NA,NA,Rectal Adenocarcinoma,Colorectal Cancer,Bowel
1493,SNU-620,SNU-620,CVCL_5079,SNU620_1474_2019,C4004,Gastric adenocarcinoma,NA,NA,NA,NA,Stomach Adenocarcinoma,Esophagogastric Cancer,Esophagus/Stomach
1494,SNU-626,SNU-626,CVCL_5080,SNU626_1475_2019,C3058,Glioblastoma,NA,NA,NA,NA,Glioblastoma,Glioma,CNS/Brain
1495,SNU-638,SNU-638,CVCL_0102,SNU638_1476_2019,C4004,Gastric adenocarcinoma,NA,NA,NA,NA,Stomach Adenocarcinoma,Esophagogastric Cancer,Esophagus/Stomach
1496,SNU-668,SNU-668,CVCL_5081,SNU668_1477_2019,C5250,Signet ring cell gastric adenocarcinoma,NA,NA,NA,NA,Signet Ring Cell Carcinoma of the Stomach,Esophagogastric Cancer,Esophagus/Stomach
1497,SNU-685,SNU-685,CVCL_5083,SNU685_1478_2019,C42700,Uterine carcinosarcoma,NA,NA,NA,NA,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,Endometrial Cancer,Uterus
1498,SNU-719,SNU-719,CVCL_5086,SNU719_1479_2019,C5473,Gastric tubular adenocarcinoma,NA,NA,NA,NA,Tubular Stomach Adenocarcinoma,Esophagogastric Cancer,Esophagus/Stomach
1499,SNU-738,SNU-738,CVCL_5087,SNU738_1480_2019,C3288,Oligodendroglioma,NA,NA,NA,NA,Oligodendroglioma,Glioma,CNS/Brain
1500,SNU-761,SNU-761,CVCL_5089,SNU761_1481_2019,C3099,Hepatocellular carcinoma,NA,NA,NA,NA,Hepatocellular Carcinoma,Hepatobiliary Cancer,Liver
1501,SNU-8,SNU-8,CVCL_5096,SNU8_1482_2019,C7978,Ovarian serous cystadenocarcinoma,NA,NA,NA,NA,Serous Ovarian Cancer,Ovarian Cancer,Ovary/Fallopian Tube
1502,SNU-81,SNU-81,CVCL_5098,SNU81_1483_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
1503,SNU-840,SNU-840,CVCL_5100,SNU840_1484_2019,C4270,Malignant ovarian Brenner tumor,NA,NA,NA,NA,"Brenner Tumor, Malignant",Ovarian Cancer,Ovary/Fallopian Tube
1504,SNU-869,SNU-869,CVCL_5101,SNU869_1485_2019,C6650,Ampulla of Vater adenocarcinoma,NA,NA,NA,NA,Ampullary Carcinoma,Ampullary Cancer,Ampulla of Vater
1505,SNU-878,SNU-878,CVCL_5102,SNU878_1486_2019,C3099,Hepatocellular carcinoma,NA,NA,NA,NA,Hepatocellular Carcinoma,Hepatobiliary Cancer,Liver
1506,SNU-886,SNU-886,CVCL_5103,SNU886_1487_2019,C3099,Hepatocellular carcinoma,NA,NA,NA,NA,Hepatocellular Carcinoma,Hepatobiliary Cancer,Liver
1507,SNU-899,SNU-899,CVCL_5105,SNU899_1488_2019,C4044,Laryngeal squamous cell carcinoma,NA,NA,NA,NA,Larynx Squamous Cell Carcinoma,Head and Neck Cancer,Head and Neck
1508,SNU-C1,SNU-C1,CVCL_1708,SNUC1_1489_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
1509,SNU-C2A,SNU-C2A,CVCL_1709,SNUC2A_1490_2019,C5543,Cecum adenocarcinoma,NA,NA,NA,NA,Bowel,"Bowel Cancer, NOS",Bowel
1510,SNU-C2B,SNU-C2B,CVCL_1710,SNUC2B_1491_2019,C5543,Cecum adenocarcinoma,NA,NA,NA,NA,Bowel,"Bowel Cancer, NOS",Bowel
1511,SNU-C4,SNU-C4,CVCL_5111,SNUC4_1492_2019,C4349,Colon adenocarcinoma,NA,NA,NA,NA,Colon Adenocarcinoma,Colorectal Cancer,Bowel
1512,SNU-C5,SNU-C5,CVCL_5112,SNUC5_1493_2019,C5543,Cecum adenocarcinoma,NA,NA,NA,NA,Bowel,"Bowel Cancer, NOS",Bowel
1513,Sq-1,Sq-1,CVCL_4900,Sq1_1494_2019,C3493,Squamous cell lung carcinoma,NA,NA,NA,NA,Lung Squamous Cell Carcinoma,Non-Small Cell Lung Cancer,Lung
1514,SR,SR,CVCL_1711,SR_1495_2019,C3720,Anaplastic large cell lymphoma,NA,NA,NA,NA,Anaplastic Large Cell Lymphoma,Mature T and NK Neoplasms,Lymphoid
1515,ST486,ST486,CVCL_1712,ST486_1497_2019,C2912,Burkitt lymphoma,NA,NA,NA,NA,Burkitt Lymphoma,Mature B-Cell Neoplasms,Lymphoid
1516,STS-0421,STS-0421,CVCL_X508,STS0421_1498_2019,C4004,Gastric adenocarcinoma,NA,NA,NA,NA,Stomach Adenocarcinoma,Esophagogastric Cancer,Esophagus/Stomach
1517,SU-DHL-1,SU-DHL-1,CVCL_0538,SUDHL1_1499_2019,C3720,Anaplastic large cell lymphoma,NA,NA,NA,NA,Anaplastic Large Cell Lymphoma,Mature T and NK Neoplasms,Lymphoid
1518,SU-DHL-10,SU-DHL-10,CVCL_1889,SUDHL10_1500_2019,C8851,Diffuse large B-cell lymphoma,NA,NA,NA,NA,"Diffuse Large B-Cell Lymphoma, NOS (DLBCLNOS)",Mature B-Cell Neoplasms,Lymphoid
1519,SU-DHL-16,SU-DHL-16,CVCL_1890,SUDHL16_1501_2019,C3457,B-cell non-Hodgkin lymphoma,NA,NA,NA,NA,Mature B-Cell Neoplasms,Mature B-Cell Neoplasms,Lymphoid
1520,SU-DHL-4,SU-DHL-4,CVCL_0539,SUDHL4_1502_2019,C36080,Diffuse large B-cell lymphoma germinal center B-cell type,NA,NA,NA,NA,Germinal Center B-Cell Type (GCB),Mature B-Cell Neoplasms,Lymphoid
1521,SU-DHL-5,SU-DHL-5,CVCL_1735,SUDHL5_1503_2019,C36080,Diffuse large B-cell lymphoma germinal center B-cell type,NA,NA,NA,NA,Germinal Center B-Cell Type (GCB),Mature B-Cell Neoplasms,Lymphoid
1522,SU-DHL-6,SU-DHL-6,CVCL_2206,SUDHL6_1504_2019,C36080,Diffuse large B-cell lymphoma germinal center B-cell type,NA,NA,NA,NA,Germinal Center B-Cell Type (GCB),Mature B-Cell Neoplasms,Lymphoid
1523,SU-DHL-8,SU-DHL-8,CVCL_2207,SUDHL8_1505_2019,C36080,Diffuse large B-cell lymphoma germinal center B-cell type,NA,NA,NA,NA,Germinal Center B-Cell Type (GCB),Mature B-Cell Neoplasms,Lymphoid
1524,SU.86.86,SU.86.86,CVCL_3881,SU.86.86_1506_2019,C8294,Pancreatic adenocarcinoma,NA,NA,NA,NA,Pancreatic Adenocarcinoma,Pancreatic Cancer,Pancreas
1525,SUIT-2,SUIT-2,CVCL_3172,SUIT2_1507_2019,C9120,Pancreatic ductal adenocarcinoma,NA,NA,NA,NA,Pancreatic Adenocarcinoma (PAAD),Pancreatic Adenocarcinoma,Pancreas
1526,SUM102PT,SUM102PT,CVCL_3421,SUM102PT_1514_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
1527,SUM1315MO2,SUM1315MO2,CVCL_5589,SUM1315M02_1508_2019,C4194,"Invasive ductal carcinoma, not otherwise specified",NA,NA,NA,NA,Breast Invasive Ductal Carcinoma,Breast Cancer,Breast
1528,SUM149PT,SUM149PT,CVCL_3422,SUM149PT_1509_2019,C4001,Inflammatory breast carcinoma,NA,NA,NA,NA,Inflammatory Breast Cancer,Breast Cancer,Breast
1529,SUM159PT,SUM159PT,CVCL_5423,SUM159PT_1510_2019,C5161,Pleomorphic breast carcinoma,NA,NA,NA,NA,NA,Breast Cancer,Breast
1530,SUM185PE,SUM185PE,CVCL_5591,SUM185PE_1515_2019,C4017,Ductal breast carcinoma,NA,NA,NA,NA,Breast Ductal Carcinoma In Situ (DCIS),Breast Cancer,Breast
1531,SUM190PT,SUM190PT,CVCL_3423,SUM190_1511_2019,C4001,Inflammatory breast carcinoma,NA,NA,NA,NA,Inflammatory Breast Cancer,Breast Cancer,Breast
1532,SUM225CWN,SUM225CWN,CVCL_5593,SUM225CWN_1516_2019,C4194,"Invasive ductal carcinoma, not otherwise specified",NA,NA,NA,NA,Breast Invasive Ductal Carcinoma,Breast Cancer,Breast
1533,SUM229PE,SUM229PE,CVCL_5594,SUM229PE_1512_2019,C4872,Breast carcinoma,NA,NA,NA,NA,Breast,"Breast Cancer, NOS",Breast
1534,SUM44PE,SUM44PE,CVCL_3424,SUM44PE_1517_2019,C7950,Invasive lobular breast carcinoma,NA,NA,NA,NA,Breast Invasive Lobular Carcinoma,Breast Cancer,Breast
