,unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,GDSC_rnaseq.cellid,CCLE_exome.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,CTRPv2.cellid,gCSI.cellid,GDSC1000.cellid,CGP.tissueid,CCLE.tissueid,GSK.tissueid,NCI60.tissueid,GRAY.tissueid,GNE.tissueid,CTRP.tissueid,CGP_EMTAB3610.tissueid,CCLE_rnaseq.tissueid,GDSC.SNP.tissueid,Cescon.cellid,Ben_Neel.tissueid,COSMIC.tissueid,unique.tissueid,CTRPv2.tissueid,gCSI.tissueid,GDSC1000.tissueid,Cleveland.cellid,Cleveland.tissueid,FIMM.cellid,FIMM.tissueid,Cellosaurus.Accession.id,PharmacoDB.id,GDSC_Exome.cellid,unique.tissueid.fromstudies,Cellosaurus.Disease.Type,CellLine.Type,Metastatic,DepMap.cellid
1402,JJ012,NA,NA,NA,NA,NA,JJ012,NA,NA,NA,NA,NA,NA,NA,NA,JJ012,NA,NA,NA,NA,NA,NA,Cartilage,NA,NA,NA,NA,NA,NA,NA,Bone,NA,NA,NA,NA,NA,NA,NA,CVCL_D605,JJ012_705_2019,NA,cartilage,Primary central chondrosarcoma,Cancer cell line,NA,NA
1403,Karpas-1106P,NA,NA,NA,NA,NA,KARPAS-1106P,NA,KARPAS-1106P,KARPAS-1106P,NA,NA,KARPAS-1106P,NA,NA,KARPAS-1106P,KARPAS-1106P,NA,NA,NA,NA,NA,Lymph Node,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Lymphoid,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_1821,KARPAS1106P_727_2019,KARPAS-1106P,haematopoietic_and_lymphoid_tissue,Mediastinal (thymic) large B-cell lymphoma,Cancer cell line,NA,ACH-002254
1404,LXFL 529L,NA,NA,NA,NA,NA,LXFL529,NA,NA,NA,NA,NA,NA,NA,NA,LXFL529,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,lung,Lung,NA,NA,NA,NA,NA,NA,NA,CVCL_D085,LXFL529_873_2019,NA,lung,Non-small cell lung carcinoma,Cancer cell line,NA,NA
1405,BICR 78,NA,NA,NA,NA,NA,BICR 78,NA,BICR78,BICR78,NA,NA,BICR78,NA,NA,BICR 78,BICR78,NA,NA,NA,NA,NA,Oral Cavity,NA,Head & Neck,NA,NA,NA,NA,NA,Head and Neck,NA,NA,oral_cavity,NA,NA,NA,NA,CVCL_2315,BICR78_100_2019,BICR78,oral_cavity,Oral cavity squamous cell carcinoma,Cancer cell line,NA,ACH-001332
1406,BJAB,NA,NA,NA,NA,NA,BJAB,NA,NA,NA,NA,NA,NA,NA,NA,BJAB,NA,NA,NA,NA,NA,NA,Lymph Node,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,NA,NA,NA,NA,NA,CVCL_5711,BJAB_102_2019,NA,haematopoietic_and_lymphoid_tissue,Burkitt lymphoma,Cancer cell line,NA,NA
1407,105KC,NA,NA,NA,NA,NA,105KC,NA,NA,NA,NA,NA,NA,NA,NA,105KC,NA,NA,NA,NA,NA,NA,Cartilage,NA,NA,NA,NA,NA,NA,NA,Bone,NA,NA,NA,NA,NA,NA,NA,CVCL_M605,105KC_1_2019,NA,cartilage,Myxoid chondrosarcoma,Cancer cell line,NA,NA
1408,Mel501A,NA,NA,NA,NA,NA,501A,NA,NA,NA,NA,NA,NA,NA,NA,501A,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,CVCL_0V14,501A_18_2019,NA,skin,Melanoma,Cancer cell line,TRUE,NA
1409,537-mel,NA,NA,NA,NA,NA,537 MEL,NA,NA,NA,NA,NA,NA,NA,NA,537 MEL,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,CVCL_8052,537MEL_19_2019,NA,skin,Melanoma,Cancer cell line,TRUE,NA
1410,624-mel,NA,NA,NA,NA,NA,624 mel,NA,NA,NA,NA,NA,NA,NA,NA,624 mel,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,CVCL_8054,624mel_23_2019,NA,skin,Melanoma,Cancer cell line,TRUE,NA
1411,Mel 928,NA,NA,NA,NA,NA,928 mel,NA,NA,NA,NA,NA,NA,NA,NA,928 mel,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,CVCL_C694,928mel_33_2019,NA,skin,Melanoma,Cancer cell line,NA,NA
1412,ATRFLOX,NA,NA,NA,NA,NA,ATRFLOX,NA,NA,NA,NA,NA,NA,NA,NA,ATRFLOX,NA,NA,NA,NA,NA,NA,Colon,NA,NA,NA,NA,NA,NA,NA,Bowel,NA,NA,NA,NA,NA,NA,NA,CVCL_2299,ATRFLOX_69_2019,NA,large_intestine,Colon carcinoma,Cancer cell line,NA,NA
1413,BICR 10,NA,NA,NA,NA,NA,BICR 10,NA,BICR10,BICR10,NA,NA,BICR10,NA,NA,BICR 10,BICR10,NA,NA,NA,NA,NA,Oral Cavity,NA,Head & Neck,NA,NA,NA,NA,NA,Head and Neck,NA,NA,oral_cavity,NA,NA,NA,NA,CVCL_2307,BICR10_93_2019,BICR10,oral_cavity,Buccal mucosa squamous cell carcinoma,Cancer cell line,NA,ACH-001331
1414,C170,NA,NA,NA,NA,NA,C170,NA,NA,NA,NA,NA,NA,NA,NA,C170,NA,NA,NA,NA,NA,NA,Colon,NA,NA,NA,NA,NA,NA,NA,Bowel,NA,NA,NA,NA,NA,NA,NA,CVCL_S959,C170_152_2019,NA,large_intestine,Colorectal adenocarcinoma,Cancer cell line,NA,NA
1415,C32TG,NA,NA,NA,NA,NA,C32TG,NA,NA,NA,NA,NA,NA,NA,NA,C32TG,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,CVCL_2324,C32TG_155_2019,NA,skin,Amelanotic melanoma,Cancer cell line,NA,NA
1416,CX-1,NA,NA,NA,NA,NA,CX-1,NA,NA,NA,NA,NA,NA,NA,NA,CX-1,NA,NA,NA,NA,NA,NA,Colon,NA,NA,NA,NA,NA,NA,large_intestine,Bowel,NA,NA,NA,NA,NA,NA,NA,CVCL_2011,CX1_270_2019,NA,large_intestine,Colon adenocarcinoma,Cancer cell line,NA,NA
1417,Farage,NA,NA,NA,NA,NA,Farage,NA,Farage,Farage,NA,NA,Farage,NA,NA,Farage,Farage,NA,NA,NA,NA,NA,Blood,NA,Blood,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_3302,Farage_366_2019,Farage,haematopoietic_and_lymphoid_tissue,Diffuse large B-cell lymphoma germinal center B-cell type,Cancer cell line,NA,ACH-001498
1418,NCE-G 111,NA,NA,NA,NA,NA,G111,NA,NA,NA,NA,NA,NA,NA,NA,G111,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,NA,NA,NA,NA,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_N739,G111_377_2019,NA,brain,Glioblastoma,Cancer cell line,NA,NA
1419,NCE-G 112,NA,NA,NA,NA,NA,G112,NA,NA,NA,NA,NA,NA,NA,NA,G112,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,NA,NA,NA,NA,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_N740,G112_378_2019,NA,brain,Glioblastoma,Cancer cell line,NA,NA
1420,NCE-G 118,NA,NA,NA,NA,NA,G118,NA,NA,NA,NA,NA,NA,NA,NA,G118,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,NA,NA,NA,NA,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_N741,G118_379_2019,NA,brain,Glioblastoma,Cancer cell line,NA,NA
1421,NCE-G 120,NA,NA,NA,NA,NA,G120,NA,NA,NA,NA,NA,NA,NA,NA,G120,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,NA,NA,NA,NA,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_N742,G120_380_2019,NA,brain,Glioblastoma,Cancer cell line,NA,NA
1422,NCE-G 121,NA,NA,NA,NA,NA,G121,NA,NA,NA,NA,NA,NA,NA,NA,G121,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,NA,NA,NA,NA,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_N743,G121_381_2019,NA,brain,Glioblastoma,Cancer cell line,NA,NA
1423,NCE-G 122,NA,NA,NA,NA,NA,G122,NA,NA,NA,NA,NA,NA,NA,NA,G122,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,NA,NA,NA,NA,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_N744,G122_382_2019,NA,brain,Glioblastoma,Cancer cell line,NA,NA
1424,NCE-G 124,NA,NA,NA,NA,NA,G124,NA,NA,NA,NA,NA,NA,NA,NA,G124,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,NA,NA,NA,NA,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_N746,G124_383_2019,NA,brain,Anaplastic astrocytoma,Cancer cell line,NA,NA
1425,NCE-G 130,NA,NA,NA,NA,NA,G130,NA,NA,NA,NA,NA,NA,NA,NA,G130,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,NA,NA,NA,NA,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_N747,G130_384_2019,NA,brain,Anaplastic astrocytoma,Cancer cell line,NA,NA
1426,NCE-G 140,NA,NA,NA,NA,NA,G140,NA,NA,NA,NA,NA,NA,NA,NA,G140,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,NA,NA,NA,NA,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_N748,G140_385_2019,NA,brain,Glioblastoma,Cancer cell line,NA,NA
1427,NCE-G 141,NA,NA,NA,NA,NA,G141,NA,NA,NA,NA,NA,NA,NA,NA,G141,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,NA,NA,NA,NA,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_N749,G141_386_2019,NA,brain,Glioblastoma,Cancer cell line,NA,NA
1428,NCE-G 142,NA,NA,NA,NA,NA,G142,NA,NA,NA,NA,NA,NA,NA,NA,G142,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,NA,NA,NA,NA,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_N750,G142_387_2019,NA,brain,Glioblastoma,Cancer cell line,NA,NA
1429,NCE-G 22,NA,NA,NA,NA,NA,G22,NA,NA,NA,NA,NA,NA,NA,NA,G22,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,NA,NA,NA,NA,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_N723,G22_388_2019,NA,brain,Anaplastic astrocytoma,Cancer cell line,NA,NA
1430,NCE G-28T,NA,NA,NA,NA,NA,G28T,NA,NA,NA,NA,NA,NA,NA,NA,G28T,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,NA,NA,NA,NA,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_0V15,G28T_389_2019,NA,brain,Gliosarcoma,Cancer cell line,NA,NA
1431,NCE-G 44,NA,NA,NA,NA,NA,G44,NA,NA,NA,NA,NA,NA,NA,NA,G44,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,NA,NA,NA,NA,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_N727,G44_390_2019,NA,brain,Glioblastoma,Cancer cell line,NA,NA
1432,NCE-G 59,NA,NA,NA,NA,NA,G59,NA,NA,NA,NA,NA,NA,NA,NA,G59,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,NA,NA,NA,NA,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_N729,G59_391_2019,NA,brain,Anaplastic astrocytoma,Cancer cell line,NA,NA
1433,NCE-G 61,NA,NA,NA,NA,NA,G61,NA,NA,NA,NA,NA,NA,NA,NA,G61,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,NA,NA,NA,NA,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_N731,G61_392_2019,NA,brain,Anaplastic astrocytoma,Cancer cell line,NA,NA
1434,HCC4011,NA,NA,NA,NA,NA,HCC4011,NA,NA,NA,NA,NA,NA,NA,NA,HCC4011,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,NA,CVCL_S700,HCC4011_503_2019,NA,lung,Lung adenocarcinoma,Cancer cell line,NA,NA
1435,HCC4017,NA,NA,NA,NA,NA,HCC4017,NA,NA,NA,NA,NA,NA,NA,NA,HCC4017,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,NA,CVCL_V579,HCC4017_504_2019,NA,lung,Large cell lung carcinoma,Cancer cell line,NA,NA
1436,HCC461,NA,HCC461,NA,NA,NA,HCC461,NA,NA,NA,NA,NA,NA,NA,NA,HCC461,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,lung,Lung,NA,NA,NA,NA,NA,NA,NA,CVCL_5135,HCC461_505_2019,NA,lung,Lung adenocarcinoma,Cancer cell line,NA,ACH-000339
1437,HCC515,NA,HCC515,NA,NA,NA,HCC515,NA,NA,NA,NA,NA,NA,NA,NA,HCC515,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,lung,Lung,NA,NA,NA,NA,NA,NA,NA,CVCL_5136,HCC515_506_2019,NA,lung,Lung adenocarcinoma,Cancer cell line,NA,ACH-000872
1438,HCC60,NA,NA,NA,NA,NA,HCC60,NA,NA,NA,NA,NA,NA,NA,NA,HCC60,NA,NA,NA,NA,NA,NA,Ovary,NA,NA,NA,NA,NA,NA,ovary,Lung,NA,NA,NA,NA,NA,NA,NA,CVCL_G002,HCC60_507_2019,NA,ovary,Lung adenocarcinoma,Cancer cell line,NA,NA
1439,HCC630,NA,NA,NA,NA,NA,HCC630,NA,NA,NA,NA,NA,NA,NA,NA,HCC630,NA,NA,NA,NA,NA,NA,Ovary,NA,NA,NA,NA,NA,NA,NA,Ovary/Fallopian Tube,NA,NA,NA,NA,NA,NA,NA,CVCL_V729,HCC630_508_2019,NA,ovary,Ovarian carcinoma,Cancer cell line,NA,NA
1440,HCC89,NA,NA,NA,NA,NA,HCC89,NA,NA,NA,NA,NA,NA,NA,NA,HCC89,NA,NA,NA,NA,NA,NA,Kidney,NA,NA,NA,NA,NA,NA,NA,Kidney,NA,NA,NA,NA,NA,NA,NA,CVCL_V731,HCC89_513_2019,NA,kidney,Renal cell carcinoma,Cancer cell line,NA,NA
1441,KMS-28PE,NA,NA,NA,NA,NA,KMS-28PE,NA,NA,NA,NA,NA,NA,NA,NA,KMS-28PE,NA,NA,NA,NA,NA,NA,Blood,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,NA,NA,NA,NA,NA,CVCL_2995,KMS28PE_771_2019,NA,haematopoietic_and_lymphoid_tissue,Plasma cell myeloma,Cancer cell line,NA,ACH-001541
1442,KPL-4,NA,NA,NA,NA,NA,KPL-4,NA,NA,NA,NA,NA,NA,NA,NA,KPL-4,NA,NA,NA,NA,NA,NA,Breast,NA,NA,NA,NA,NA,NA,NA,Breast,NA,NA,NA,NA,NA,NA,NA,CVCL_5310,KPL4_791_2019,NA,breast,Inflammatory breast carcinoma,Cancer cell line,TRUE,NA
1443,LNCaP,NA,NA,NA,NA,NA,LNCAP,NA,NA,NA,NA,NA,NA,NA,NA,LNCAP,NA,NA,NA,NA,NA,NA,Prostate,NA,NA,NA,NA,NA,NA,prostate,Prostate,NA,NA,NA,NA,NA,NA,NA,CVCL_0395,LNCAP_850_2019,NA,prostate,Prostate carcinoma,Cancer cell line,TRUE,NA
1444,MOR,NA,NA,NA,NA,NA,MOR,NA,NA,NA,NA,NA,NA,NA,NA,MOR,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,NA,CVCL_2618,MOR_961_2019,NA,lung,Lung adenocarcinoma,Cancer cell line,NA,NA
1445,MS751,NA,NA,NA,NA,NA,MS751,NA,MS751,MS751,NA,NA,MS751,NA,NA,MS751,MS751,NA,NA,NA,NA,NA,Cervix,NA,Cervix,NA,NA,NA,NA,cervix,Cervix,NA,NA,cervix,NA,NA,NA,NA,CVCL_4996,MS751_967_2019,MS751,cervix,Human papillomavirus-related cervical squamous cell carcinoma,Cancer cell line,TRUE,ACH-001360
1446,OCI-Ly7,NA,NA,NA,NA,NA,OCI-LY-7,NA,OCI-LY7,OCI-LY7,NA,NA,OCI-LY7,NA,NA,OCI-LY-7,OCI-LY7,NA,NA,NA,NA,NA,Lymph Node,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,NA,Lymphoid,NA,NA,haematopoietic_and_lymphoid_tissue,NA,NA,NA,NA,CVCL_1881,OCILY7_1187_2019,OCI-LY7,haematopoietic_and_lymphoid_tissue,Diffuse large B-cell lymphoma germinal center B-cell type,Cancer cell line,NA,ACH-001617
1447,OCI-M2,NA,NA,NA,NA,NA,OCI-M2,NA,NA,NA,NA,NA,NA,NA,NA,OCI-M2,NA,NA,NA,NA,NA,NA,Blood,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Myeloid,NA,NA,NA,NA,NA,NA,NA,CVCL_2150,OCIM2_1191_2019,NA,haematopoietic_and_lymphoid_tissue,Adult acute myeloid leukemia,Cancer cell line,NA,ACH-001618
1448,Okajima,NA,NA,NA,NA,NA,Okajima,NA,NA,NA,NA,NA,NA,NA,NA,Okajima,NA,NA,NA,NA,NA,NA,Stomach,NA,NA,NA,NA,NA,NA,NA,Esophagus/Stomach,NA,NA,NA,NA,NA,NA,NA,CVCL_9815,Okajima_1198_2019,NA,stomach,Gastric adenocarcinoma,Cancer cell line,TRUE,NA
1449,OVCA420,NA,NA,NA,NA,NA,OVCA 420,NA,OVCA420,OVCA420,NA,NA,OVCA420,NA,NA,OVCA 420,OVCA420,NA,NA,NA,NA,NA,Ovary,NA,Ovary,NA,NA,NA,NA,NA,Ovary/Fallopian Tube,NA,NA,ovary,NA,NA,NA,NA,CVCL_3935,OVCA420_1213_2019,OVCA420,ovary,Ovarian serous adenocarcinoma,Cancer cell line,NA,ACH-002181
1450,OVCA429,NA,NA,NA,NA,NA,OvCA 429,NA,NA,NA,NA,NA,NA,NA,NA,OvCA 429,NA,NA,NA,NA,NA,NA,Ovary,NA,NA,NA,NA,NA,NA,NA,Ovary/Fallopian Tube,NA,NA,NA,NA,NA,NA,NA,CVCL_3936,OvCA429_1214_2019,NA,ovary,Ovarian cystadenocarcinoma,Cancer cell line,NA,NA
1451,OVCA432,NA,NA,NA,NA,NA,OvCA 432,NA,NA,NA,NA,NA,NA,NA,NA,OvCA 432,NA,NA,NA,NA,NA,NA,Ovary,NA,NA,NA,NA,NA,NA,NA,Ovary/Fallopian Tube,NA,NA,ovary,NA,NA,NA,NA,CVCL_3769,OvCA432_1215_2019,NA,ovary,Ovarian serous adenocarcinoma,Cancer cell line,NA,NA
1452,PEO1,NA,NA,NA,NA,NA,PE01,NA,PEO1,PEO1,NA,NA,PEO1,NA,NA,PE01,PEO1,NA,NA,NA,NA,NA,Ovary,NA,ovary,NA,NA,NA,NA,ovary,Ovary/Fallopian Tube,NA,NA,ovary,NA,NA,NA,NA,CVCL_2686,PE01_1260_2019,PEO1,ovary,BRCA2 syndrome,Cancer cell line,TRUE,ACH-001630
1453,PK-45P,NA,NA,NA,NA,NA,PK-45P,NA,NA,NA,NA,NA,NA,NA,NA,PK-45P,NA,NA,NA,NA,NA,NA,Pancreas,NA,NA,NA,NA,NA,NA,pancreas,Pancreas,NA,NA,NA,NA,NA,NA,NA,CVCL_6749,PK45P_1267_2019,NA,pancreas,Pancreatic carcinoma,Cancer cell line,NA,NA
1454,RERF-LC-OK,NA,NA,NA,NA,NA,RERF-LC-OK,NA,NA,NA,NA,NA,NA,NA,NA,RERF-LC-OK,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,lung,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_3154,RERFLCOK_1307_2019,NA,lung,Astrocytoma,Cancer cell line,NA,NA
1455,Caco-2,NA,CACO2///CACO2;CACO2;CaCo-2,NA,NA,NA,Caco-2,NA,NA,NA,NA,NA,NA,NA,NA,Caco-2,NA,NA,NA,NA,NA,NA,Colon,NA,NA,NA,NA,NA,NA,large_intestine,Bowel,NA,NA,NA,NA,NA,NA,NA,CVCL_0025,Caco2_161_2019,NA,large_intestine,Colon adenocarcinoma,Cancer cell line,NA,ACH-000003
1456,CCRF-SB,NA,NA,NA,NA,NA,CCRF-SB,NA,NA,NA,NA,NA,NA,NA,NA,CCRF-SB,NA,NA,NA,NA,NA,NA,Blood,NA,NA,NA,NA,NA,NA,haematopoietic_and_lymphoid_tissue,Lymphoid,NA,NA,NA,NA,NA,NA,NA,CVCL_1860,CCRFSB_191_2019,NA,haematopoietic_and_lymphoid_tissue,Childhood T acute lymphoblastic leukemia,Cancer cell line,NA,NA
1457,COLO 206F,NA,NA,NA,NA,NA,COLO 206F,NA,NA,NA,NA,NA,NA,NA,NA,COLO 206F,NA,NA,NA,NA,NA,NA,Colon,NA,NA,NA,NA,NA,NA,NA,Bowel,NA,NA,NA,NA,NA,NA,NA,CVCL_1988,COLO206F_215_2019,NA,large_intestine,Colon adenocarcinoma,Cancer cell line,TRUE,NA
1458,COLO 794,NA,NA,NA,NA,NA,COLO 794,NA,NA,NA,NA,NA,NA,NA,NA,COLO 794,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,CVCL_2408,COLO794_218_2019,NA,skin,Cutaneous melanoma,Cancer cell line,NA,ACH-001339
1459,COLO 853,NA,NA,NA,NA,NA,COLO 853,NA,NA,NA,NA,NA,NA,NA,NA,COLO 853,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,CVCL_2003,COLO853_219_2019,NA,skin,Cutaneous melanoma,Cancer cell line,TRUE,NA
1460,COLO 857,NA,NA,NA,NA,NA,COLO 857,NA,NA,NA,NA,NA,NA,NA,NA,COLO 857,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,NA,CVCL_2004,COLO857_220_2019,NA,skin,Cutaneous melanoma,Cancer cell line,TRUE,NA
1461,COR-L26,NA,NA,NA,NA,NA,COR-L26,NA,NA,NA,NA,NA,NA,NA,NA,COR-L26,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,NA,CVCL_2410,CORL26_243_2019,NA,lung,Small cell lung carcinoma,Cancer cell line,TRUE,NA
1462,COV413A,NA,NA,NA,NA,NA,COV413A,NA,NA,NA,NA,NA,NA,NA,NA,COV413A,NA,NA,NA,NA,NA,NA,Ovary,NA,NA,NA,NA,NA,NA,NA,Ovary/Fallopian Tube,NA,NA,NA,NA,NA,NA,NA,CVCL_2422,COV413A_255_2019,NA,ovary,Ovarian carcinoma,Cancer cell line,TRUE,ACH-001340
1463,COV413B,NA,NA,NA,NA,NA,COV413B,NA,NA,NA,NA,NA,NA,NA,NA,COV413B,NA,NA,NA,NA,NA,NA,Ovary,NA,NA,NA,NA,NA,NA,NA,Ovary/Fallopian Tube,NA,NA,NA,NA,NA,NA,NA,CVCL_2423,COV413B_256_2019,NA,ovary,Ovarian carcinoma,Cancer cell line,TRUE,NA
1464,DEOC-1,NA,NA,NA,NA,NA,DEOC-1,NA,NA,NA,NA,NA,NA,NA,NA,DEOC-1,NA,NA,NA,NA,NA,NA,Skin,NA,NA,NA,NA,NA,NA,skin,Skin,NA,NA,NA,NA,NA,NA,NA,CVCL_4161,DEOC1_287_2019,NA,skin,Melanoma,Cancer cell line,NA,NA
1465,DOV13,NA,DOV13,NA,NA,NA,DOR 13,NA,DOV13,DOV13,NA,NA,DOV13,NA,DOV13,DOR 13,DOV13,NA,NA,NA,NA,NA,Ovary,NA,ovary,NA,NA,NA,NA,NA,Ovary/Fallopian Tube,NA,NA,ovary,NA,NA,NA,NA,CVCL_6774,DOR13_305_2019,DOV13,ovary,Ovarian adenocarcinoma,Cancer cell line,NA,ACH-001063
1466,NCE-G 84,NA,NA,NA,NA,NA,G84,NA,NA,NA,NA,NA,NA,NA,NA,G84,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,NA,NA,NA,NA,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_N735,G84_393_2019,NA,brain,Anaplastic astrocytoma,Cancer cell line,NA,NA
1467,NCE-G 96,NA,NA,NA,NA,NA,G96,NA,NA,NA,NA,NA,NA,NA,NA,G96,NA,NA,NA,NA,NA,NA,Brain,NA,NA,NA,NA,NA,NA,NA,CNS/Brain,NA,NA,NA,NA,NA,NA,NA,CVCL_N736,G96_394_2019,NA,brain,Anaplastic astrocytoma,Cancer cell line,NA,NA
1468,GTL-16,NA,NA,NA,NA,NA,GTL-16,NA,NA,NA,NA,NA,NA,NA,NA,GTL-16,NA,NA,NA,NA,NA,NA,Stomach,NA,NA,NA,NA,NA,NA,stomach,Esophagus/Stomach,NA,NA,NA,NA,NA,NA,NA,CVCL_7668,GTL16_418_2019,NA,stomach,Gastric adenocarcinoma,Cancer cell line,TRUE,NA
1469,NCI-H1882,NA,NA,NA,NA,NA,NCI-H1882,NA,NA,NA,NA,NA,NA,NA,NA,NCI-H1882,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,lung,Lung,NA,NA,NA,NA,NA,NA,NA,CVCL_1504,NCIH1882_1046_2019,NA,lung,Small cell lung carcinoma,Cancer cell line,TRUE,NA
1470,NCI-H2135,NA,NA,NA,NA,NA,NCI-H2135,NA,NCI-H2135,NCI-H2135,NA,NA,NCI-H2135,NA,NA,NCI-H2135,NCI-H2135,NA,NA,NA,NA,NA,Lung,NA,Lung:NSCLC,NA,NA,NA,NA,NA,Lung,NA,NA,lung,NA,NA,NA,NA,CVCL_1533,NCIH2135_1072_2019,NCI-H2135,lung,Non-small cell lung carcinoma,Cancer cell line,NA,ACH-001363
1471,NCI-H2198,NA,NA,NA,NA,NA,NCI-H2198,NA,NA,NA,NA,NA,NA,NA,NA,NCI-H2198,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,lung,Lung,NA,NA,NA,NA,NA,NA,NA,CVCL_1540,NCIH2198_1078_2019,NA,lung,Small cell lung carcinoma,Cancer cell line,TRUE,NA
1472,NCI-H2596,NA,NA,NA,NA,NA,NCI-H2596,NA,NA,NA,NA,NA,NA,NA,NA,NCI-H2596,NA,NA,NA,NA,NA,NA,Lung,NA,NA,NA,NA,NA,NA,pleura,Pleura,NA,NA,pleura,NA,NA,NA,NA,CVCL_A546,NCIH2596_1096_2019,NA,pleura,Pleural sarcomatoid mesothelioma,Cancer cell line,NA,NA
